Username,Gender,Age,Activity,Duration,Calories,Steps,Mood,Date
michael1@outlook.com,Male,39,cycling,34,233.02,0,Tired,2/3/2024
daniel1@yahoo.com,Male,64,Yoga,83,156.1,0,Happy,9/10/2024
ava1@gmail.com,Female,63,walking,20,612.07,12665,Tired,2/28/2024
olivia1@hotmail.com,Female,41,cycling,41,619.65,0,Happy,10/21/2024
sophia1@hotmail.com,Female,31,swimming,78,386.29,0,Energetic,3/9/2024
ava2@hotmail.com,Female,55,Yoga,61,236.42,0,Sad,8/3/2024
david1@yahoo.com,Male,59,cycling,29,299.48,0,Energetic,1/24/2024
michael2@outlook.com,Male,58,cycling,96,481.51,0,Neutral,6/25/2024
john1@yahoo.com,Male,49,walking,29,839.73,14396,Tired,4/2/2024
emma1@outlook.com,Female,52,running,31,610.79,9007,Neutral,5/17/2024
david2@icloud.com,Male,63,cycling,66,895.88,0,Tired,8/17/2024
john2@yahoo.com,Male,55,running,15,110.34,10339,Happy,4/3/2024
sophia2@icloud.com,Female,60,Yoga,42,508.35,0,Sad,10/16/2024
emily1@yahoo.com,Female,60,Yoga,60,410.04,0,Happy,11/21/2024
olivia2@icloud.com,Female,33,running,39,505.84,2296,Energetic,3/9/2024
david3@icloud.com,Male,21,swimming,84,760.62,0,Neutral,3/14/2024
john3@yahoo.com,Male,42,walking,64,275.42,12846,Energetic,5/14/2024
emma2@gmail.com,Female,30,cycling,42,873.4,0,Sad,1/24/2024
david4@hotmail.com,Male,21,gym,25,773.64,0,Sad,2/22/2024
ava3@icloud.com,Female,55,gym,20,576.47,0,Sad,10/17/2024
ava4@hotmail.com,Female,22,gym,42,480.0,0,Tired,2/8/2024
daniel2@yahoo.com,Male,60,gym,53,841.99,0,Neutral,5/4/2024
daniel3@icloud.com,Male,63,cycling,41,634.37,0,Tired,9/16/2024
james1@hotmail.com,Male,20,walking,57,705.45,10438,Tired,3/24/2024
john4@hotmail.com,Male,31,swimming,46,616.89,0,Sad,7/20/2024
michael3@outlook.com,Male,44,walking,37,676.08,5442,Energetic,11/28/2024
sophia3@gmail.com,Female,39,cycling,23,871.86,0,Tired,11/17/2024
john5@hotmail.com,Male,34,running,89,868.15,4349,Happy,2/20/2024
ava5@yahoo.com,Female,42,gym,39,266.51,0,Energetic,1/17/2024
sophia4@yahoo.com,Female,45,walking,100,832.66,10209,Tired,11/28/2024
james2@outlook.com,Male,43,swimming,52,521.25,0,Energetic,11/13/2024
daniel4@hotmail.com,Male,53,walking,53,293.88,7043,Sad,10/21/2024
david5@icloud.com,Male,28,swimming,25,291.22,0,Sad,6/3/2024
sophia5@yahoo.com,Female,27,walking,20,258.12,7784,Sad,2/15/2024
james3@icloud.com,Male,43,running,33,607.65,90,Happy,7/8/2024
john6@yahoo.com,Male,25,Yoga,32,731.2,0,Tired,9/20/2024
david6@icloud.com,Male,53,Yoga,35,682.11,0,Energetic,5/25/2024
david7@gmail.com,Male,58,running,50,423.89,11690,Tired,4/9/2024
michael4@hotmail.com,Male,42,swimming,34,650.46,0,Energetic,7/11/2024
james4@gmail.com,Male,49,running,49,420.46,475,Energetic,6/22/2024
emma3@gmail.com,Female,57,gym,18,820.89,0,Tired,11/1/2024
michael5@hotmail.com,Male,34,Yoga,56,229.91,0,Tired,7/9/2024
emily2@icloud.com,Female,19,swimming,84,94.27,0,Neutral,11/3/2024
sophia6@gmail.com,Female,19,gym,34,252.76,0,Happy,10/7/2024
ava6@hotmail.com,Female,28,cycling,28,541.88,0,Sad,11/13/2024
sophia7@icloud.com,Female,62,cycling,102,560.35,0,Sad,1/12/2024
olivia3@hotmail.com,Female,44,Yoga,28,418.49,0,Energetic,12/5/2024
daniel5@hotmail.com,Male,47,Yoga,120,671.37,0,Tired,4/27/2024
emma4@gmail.com,Female,39,walking,78,773.31,2979,Energetic,4/12/2024
daniel6@hotmail.com,Male,51,running,25,255.15,6658,Energetic,9/25/2024
emma5@hotmail.com,Female,23,cycling,43,393.74,0,Tired,11/19/2024
david8@yahoo.com,Male,40,swimming,73,280.28,0,Neutral,2/24/2024
michael6@gmail.com,Male,31,swimming,76,285.02,0,Sad,10/10/2024
olivia4@icloud.com,Female,37,walking,105,504.01,4494,Happy,1/18/2024
emma6@gmail.com,Female,18,gym,51,448.99,0,Tired,3/2/2024
emily3@hotmail.com,Female,49,walking,88,585.03,878,Neutral,3/26/2024
emily4@yahoo.com,Female,56,gym,116,575.66,0,Sad,7/15/2024
james5@yahoo.com,Male,54,gym,22,568.19,0,Happy,4/21/2024
michael7@outlook.com,Male,28,walking,67,432.93,9729,Energetic,5/2/2024
emma7@outlook.com,Female,61,running,48,719.65,10240,Sad,11/26/2024
michael8@yahoo.com,Male,27,walking,22,191.03,5039,Energetic,12/27/2024
sophia8@gmail.com,Female,61,cycling,88,84.2,0,Neutral,8/17/2024
ava7@gmail.com,Female,58,Yoga,26,449.51,0,Tired,6/22/2024
emma8@hotmail.com,Female,60,Yoga,119,696.42,0,Energetic,2/11/2024
david9@outlook.com,Male,60,gym,74,401.26,0,Sad,6/20/2024
sophia9@yahoo.com,Female,53,running,51,422.4,11440,Energetic,2/1/2024
michael9@hotmail.com,Male,53,walking,85,396.79,3681,Happy,8/4/2024
daniel7@icloud.com,Male,44,Yoga,75,257.17,0,Neutral,7/7/2024
emily5@icloud.com,Female,44,cycling,115,481.58,0,Happy,5/24/2024
emma9@gmail.com,Female,46,gym,76,343.36,0,Sad,7/15/2024
sophia10@hotmail.com,Female,32,Yoga,20,320.45,0,Energetic,7/22/2024
michael10@hotmail.com,Male,48,cycling,58,579.77,0,Happy,6/28/2024
emma10@yahoo.com,Female,57,walking,45,586.49,4708,Neutral,12/3/2024
emily6@hotmail.com,Female,28,swimming,53,817.91,0,Tired,1/10/2024
james6@yahoo.com,Male,28,running,25,568.07,6267,Sad,11/8/2024
daniel8@outlook.com,Male,34,swimming,16,814.07,0,Tired,11/18/2024
ava8@hotmail.com,Female,58,Yoga,103,262.58,0,Tired,4/13/2024
olivia5@gmail.com,Female,62,cycling,17,881.25,0,Energetic,5/1/2024
john7@gmail.com,Male,36,running,92,731.64,3588,Neutral,10/9/2024
michael11@hotmail.com,Male,58,swimming,20,312.59,0,Happy,10/12/2024
james7@outlook.com,Male,30,running,115,508.5,5994,Tired,9/9/2024
emma11@icloud.com,Female,39,walking,74,868.46,2306,Neutral,11/24/2024
david10@gmail.com,Male,23,Yoga,16,274.79,0,Energetic,6/22/2024
olivia6@outlook.com,Female,61,running,75,71.27,14487,Sad,6/20/2024
daniel9@hotmail.com,Male,25,running,20,854.32,4986,Energetic,2/4/2024
olivia7@outlook.com,Female,55,swimming,108,181.34,0,Happy,8/20/2024
olivia8@icloud.com,Female,46,Yoga,45,777.13,0,Tired,9/21/2024
emily7@icloud.com,Female,23,swimming,42,595.45,0,Happy,1/26/2024
michael12@icloud.com,Male,52,cycling,117,198.32,0,Happy,3/1/2024
john8@yahoo.com,Male,34,walking,31,680.46,8619,Happy,12/3/2024
james8@gmail.com,Male,61,walking,77,655.54,7267,Happy,2/11/2024
ava9@icloud.com,Female,42,gym,82,300.66,0,Sad,7/4/2024
daniel10@gmail.com,Male,27,swimming,75,107.06,0,Happy,2/14/2024
david12@icloud.com,Male,55,gym,86,330.2,0,Energetic,6/28/2024
